"","type","distribution","g1,g2","p,q","pvalue","pvalue_sqv","BIC"
"121","gjrGARCH","norm","1,1","0,0",2.45139020194074e-09,"0","-3.94013688725207"
"122","gjrGARCH","norm","1,1","0,1",2.96878632788378e-10,"0","-3.93681391965669"
"123","gjrGARCH","norm","1,1","0,2",3.67528008027307e-10,"0","-3.93384050678326"
"124","gjrGARCH","norm","1,1","0,3",1.51629819811205e-11,"0","-3.93065583668504"
"125","gjrGARCH","norm","1,1","0,4",1.58151269857854e-12,"0","-3.92769581398807"
"126","gjrGARCH","norm","1,1","0,5",7.90478793533111e-14,"0","-3.92453570165925"
"127","gjrGARCH","norm","1,1","1,0",2.82161405351644e-10,"0","-3.93681442005505"
"128","gjrGARCH","norm","1,1","1,1",9.92192761284372e-09,"0","-3.93375780462145"
"129","gjrGARCH","norm","1,1","1,2",1.39225297957069e-11,"0","-3.93099295408906"
"130","gjrGARCH","norm","1,1","1,3",8.30779889327005e-13,"0","-3.92764698799251"
"131","gjrGARCH","norm","1,1","1,4",1.73083769539062e-13,"0","-3.92446208870905"
"132","gjrGARCH","norm","1,1","1,5",9.53681578153009e-14,"0","-3.92204116808508"
"133","gjrGARCH","norm","1,1","2,0",5.05886665891353e-10,"0","-3.93385761711759"
"134","gjrGARCH","norm","1,1","2,1",3.83060250186418e-12,"0","-3.93058806037822"
"135","gjrGARCH","norm","1,1","2,2",2.74114064779951e-13,"0","-3.93335877319936"
"136","gjrGARCH","norm","1,1","2,3",9.11937192427104e-13,"0","-3.92686710895285"
"137","gjrGARCH","norm","1,1","2,4",1.0333955913211e-12,"0","-3.92343717337249"
"138","gjrGARCH","norm","1,1","2,5",1.99840144432528e-15,"0","-3.91956083183297"
"139","gjrGARCH","norm","1,1","3,0",1.91858751108498e-11,"0","-3.93069397505369"
"140","gjrGARCH","norm","1,1","3,1",1.38178357644847e-12,"0","-3.92759971182302"
"141","gjrGARCH","norm","1,1","3,2",4.63828975227898e-12,"0","-3.92718982087188"
"142","gjrGARCH","norm","1,1","3,3",3.33066907387547e-16,"0","-3.92335755768852"
"143","gjrGARCH","norm","1,1","3,4",1.11022302462516e-16,"0","-3.92268195786974"
"144","gjrGARCH","norm","1,1","4,0",2.62423416330648e-12,"0","-3.92761323656533"
"145","gjrGARCH","norm","1,1","4,1",3.17634807345257e-13,"0","-3.92434484665155"
"146","gjrGARCH","norm","1,1","4,2",1.63202784619898e-14,"0","-3.92173716805567"
"147","gjrGARCH","norm","1,1","4,3",1.98729921407903e-14,"0","-3.92095982185381"
"148","gjrGARCH","norm","1,1","5,0",1.46549439250521e-13,"0","-3.92438084875275"
"149","gjrGARCH","norm","1,1","5,1",1.74193992563687e-13,"0","-3.92216416259098"
"150","gjrGARCH","norm","1,1","5,2",1.88737914186277e-15,"0","-3.92391302553273"
"151","gjrGARCH","std","1,1","0,0",2.45139020194074e-09,"0","-4.12517514008171"
"152","gjrGARCH","std","1,1","0,1",3.33066907387547e-16,"0","-4.12389695535624"
"153","gjrGARCH","std","1,1","0,2",2.22044604925031e-16,"0","-4.12072576185767"
"154","gjrGARCH","std","1,1","0,3",0,"0","-4.11739240979174"
"155","gjrGARCH","std","1,1","0,4",0,"0","-4.11512351003673"
"156","gjrGARCH","std","1,1","0,5",0,"0","-4.11184600150746"
"157","gjrGARCH","std","1,1","1,0",2.22044604925031e-16,"0","-4.12395016635209"
"158","gjrGARCH","std","1,1","1,1",1.11022302462516e-15,"0","-4.12081412221855"
"159","gjrGARCH","std","1,1","1,2",1.11022302462516e-16,"0","-4.1175266948395"
"160","gjrGARCH","std","1,1","1,3",0,"0","-4.11419577185395"
"161","gjrGARCH","std","1,1","1,4",0,"0","-4.11185185165482"
"162","gjrGARCH","std","1,1","1,5",0,"0","-4.10851854620955"
"163","gjrGARCH","std","1,1","2,0",2.22044604925031e-16,"0","-4.12073595570744"
"164","gjrGARCH","std","1,1","2,1",1.11022302462516e-16,"0","-4.11753070422595"
"165","gjrGARCH","std","1,1","2,2",0,"0","-4.11419959991085"
"166","gjrGARCH","std","1,1","2,3",0,"0","-4.11429148996123"
"167","gjrGARCH","std","1,1","2,4",0,"0","-4.1087876691837"
"168","gjrGARCH","std","1,1","2,5",0,"0","-4.10576442684867"
"169","gjrGARCH","std","1,1","3,0",1.11022302462516e-16,"0","-4.11738458707907"
"170","gjrGARCH","std","1,1","3,1",0,"0","-4.11418055305857"
"171","gjrGARCH","std","1,1","3,2",0,"0","-4.11411520498167"
"172","gjrGARCH","std","1,1","3,3",0,"0","-4.10951424155206"
"173","gjrGARCH","std","1,1","3,4",0,"0","-4.10816039578398"
"174","gjrGARCH","std","1,1","4,0",0,"0","-4.11500155207259"
"175","gjrGARCH","std","1,1","4,1",0,"0","-4.11177541914913"
"176","gjrGARCH","std","1,1","4,2",0,"0","-4.11063892722977"
"177","gjrGARCH","std","1,1","4,3",0,"0","-4.10787269520883"
"178","gjrGARCH","std","1,1","5,0",0,"0","-4.11179065361512"
"179","gjrGARCH","std","1,1","5,1",0,"0","-4.10846585737157"
"180","gjrGARCH","std","1,1","5,2",0,"0","-4.1058396743246"
