"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"176","daily","sGARCH","norm","3,2","1,3","-3.91077788765218",9.59232693276135e-14
"177","daily","sGARCH","norm","3,2","1,4","-3.90781727127039",6.43929354282591e-15
"178","daily","sGARCH","norm","3,2","2,0","-3.91730961155118",9.12003805808581e-12
"179","daily","sGARCH","norm","3,2","2,1","-3.91420767804504",5.04152275482284e-13
"180","daily","sGARCH","norm","3,2","2,2","-3.91219118421147",1.28785870856518e-14
"181","daily","sGARCH","norm","3,2","2,3","-3.91047479198793",4.75175454539567e-14
"182","daily","sGARCH","norm","3,2","2,4","-3.90714817785891",9.54791801177635e-15
"183","daily","sGARCH","norm","3,2","3,0","-3.9140992904602",6.78679334953358e-13
"184","daily","sGARCH","norm","3,2","3,1","-3.91135866756987",1.03805852802452e-13
"185","daily","sGARCH","norm","3,2","3,2","-3.91396992959693",0
"186","daily","sGARCH","norm","3,2","3,3","-3.90927249873662",8.95949980872501e-14
"187","daily","sGARCH","norm","3,2","3,4","-3.90402023502322",5.55111512312578e-16
"188","daily","sGARCH","norm","3,2","4,0","-3.9110368446875",7.52731210695856e-14
"189","daily","sGARCH","norm","3,2","4,1","-3.90771409131809",1.15463194561016e-14
"190","daily","sGARCH","norm","3,2","4,2","-3.90745651022724",1.22124532708767e-15
"191","daily","sGARCH","norm","3,2","4,3","-3.90242599318678",0
"192","daily","sGARCH","norm","3,3","0,0","-3.9209473474537",3.14702741643913e-09
"193","daily","sGARCH","norm","3,3","0,1","-3.91782002558817",6.30917540433984e-12
"194","daily","sGARCH","norm","3,3","0,2","-3.91514009153926",6.36124486419476e-12
"195","daily","sGARCH","norm","3,3","0,3","-3.91203048189383",2.27484697745695e-13
"196","daily","sGARCH","norm","3,3","0,4","-3.90906742760117",2.66453525910038e-14
"197","daily","sGARCH","norm","3,3","1,0","-3.91783569106754",4.28224122828169e-12
"198","daily","sGARCH","norm","3,3","1,1","-3.91478508374466",9.2503782411768e-13
"199","daily","sGARCH","norm","3,3","1,2","-3.91219307610241",2.49578135935735e-13
"200","daily","sGARCH","norm","3,3","1,3","-3.90939637739994",5.02931030155196e-14
"201","daily","sGARCH","norm","3,3","1,4","-3.90577624343004",3.66373598126302e-15
"202","daily","sGARCH","norm","3,3","2,0","-3.91513813811161",9.87043780042995e-12
"203","daily","sGARCH","norm","3,3","2,1","-3.91215788695365",4.03566069451244e-13
"204","daily","sGARCH","norm","3,3","2,2","-3.91157916127491",8.34887714518118e-13
"205","daily","sGARCH","norm","3,3","2,3","-3.90861132823298",1.31228361510694e-13
"206","daily","sGARCH","norm","3,3","2,4","-3.90525224696776",2.4535928844216e-14
"207","daily","sGARCH","norm","3,3","3,0","-3.91203886180434",3.47943895917524e-13
"208","daily","sGARCH","norm","3,3","3,1","-3.90946066672014",7.37188088351104e-14
"209","daily","sGARCH","norm","3,3","3,2","-3.91158083967487",0
"210","daily","sGARCH","norm","3,3","3,3","-3.90525466075108",3.54161144855425e-14
"211","daily","sGARCH","norm","3,3","3,4","-3.9018539784637",7.7715611723761e-16
"212","daily","sGARCH","norm","3,3","4,0","-3.90895353559642",5.04041253179821e-14
"213","daily","sGARCH","norm","3,3","4,1","-3.9056495519733",7.105427357601e-15
"214","daily","sGARCH","norm","3,3","4,2","-3.91069943075681",1.4432899320127e-15
"215","daily","sGARCH","norm","3,3","4,3","-3.9025370628538",1.11022302462516e-16
"216","daily","eGARCH","norm","1,1","0,0","-3.92704379624973",3.20667481457093e-09
"217","daily","eGARCH","norm","1,1","0,1","-3.92378226405666",6.84901024783358e-11
"218","daily","eGARCH","norm","1,1","0,2","-3.92068414421975",3.5248692853429e-11
"219","daily","eGARCH","norm","1,1","0,3","-3.91725790063438",2.26596519325994e-13
"220","daily","eGARCH","norm","1,1","0,4","-3.91438657544232",2.40918396343659e-14
"221","daily","eGARCH","norm","1,1","1,0","-3.92378619381961",5.63494806371523e-11
"222","daily","eGARCH","norm","1,1","1,1","-3.92063969885332",2.99538172043867e-12
"223","daily","eGARCH","norm","1,1","1,2","-3.91762028028533",2.94986257642904e-13
"224","daily","eGARCH","norm","1,1","1,3","-3.91480301734857",5.82112136271462e-12
"225","daily","eGARCH","norm","1,1","1,4","-3.91107609489168",5.55111512312578e-15
"226","daily","eGARCH","norm","1,1","2,0","-3.92068980277735",3.6856961926901e-11
"227","daily","eGARCH","norm","1,1","2,1","-3.91782935881539",1.51134660342223e-12
"228","daily","eGARCH","norm","1,1","2,2","-3.91728286953809",1.00475183728577e-13
"229","daily","eGARCH","norm","1,1","2,3","-3.91377324739503",1.0502709812954e-13
"230","daily","eGARCH","norm","1,1","2,4","-3.91734612946896",3.64153152077051e-13
"231","daily","eGARCH","norm","1,1","3,0","-3.9172645091146",3.7425618160114e-13
"232","daily","eGARCH","norm","1,1","3,1","-3.91417034865505",4.52970994047064e-14
"233","daily","eGARCH","norm","1,1","3,2","-3.91377785214993",9.47020240005259e-14
"234","daily","eGARCH","norm","1,1","3,3","-3.91076229719492",1.86628490439489e-13
"235","daily","eGARCH","norm","1,1","3,4","-3.91420950414671",1.22124532708767e-15
"236","daily","eGARCH","norm","1,1","4,0","-3.91431459995278",3.31956684362922e-14
"237","daily","eGARCH","norm","1,1","4,1","-3.91100251818662",7.43849426498855e-15
"238","daily","eGARCH","norm","1,1","4,2","-3.91794714007967",1.55431223447522e-15
"239","daily","eGARCH","norm","1,1","4,3","-3.91480393418593",0
"240","daily","eGARCH","norm","1,2","0,0","-3.93318319906785",4.87299256501927e-09
"241","daily","eGARCH","norm","1,2","0,1","-3.93003583785344",5.7885918280931e-12
"242","daily","eGARCH","norm","1,2","0,2","-3.92744844666857",4.73354688779182e-12
"243","daily","eGARCH","norm","1,2","0,3","-3.9240352326384",1.31006316905768e-14
"244","daily","eGARCH","norm","1,2","0,4","-3.92105022873421",8.10462807976364e-15
"245","daily","eGARCH","norm","1,2","1,0","-3.93005797965602",3.57103235870682e-12
"246","daily","eGARCH","norm","1,2","1,1","-3.92708517323306",1.17950094136177e-12
"247","daily","eGARCH","norm","1,2","1,2","-3.92428344478666",1.4255263636187e-13
"248","daily","eGARCH","norm","1,2","1,3","-3.92088504730373",1.4432899320127e-15
"249","daily","eGARCH","norm","1,2","1,4","-3.91794835883331",8.88178419700125e-16
"250","daily","eGARCH","norm","1,2","2,0","-3.9274335684036",7.86615217407416e-12
"251","daily","eGARCH","norm","1,2","2,1","-3.92424276653356",2.36921593455008e-13
"252","daily","eGARCH","norm","1,2","2,2","-3.92366238558728",4.98490138056695e-14
"253","daily","eGARCH","norm","1,2","2,3","-3.92003797424711",8.43769498715119e-15
"254","daily","eGARCH","norm","1,2","2,4","-3.92495464566909",5.59552404411079e-14
"255","daily","eGARCH","norm","1,2","3,0","-3.92404251292872",7.94919685631612e-14
"256","daily","eGARCH","norm","1,2","3,1","-3.92085885760807",1.4210854715202e-14
"257","daily","eGARCH","norm","1,2","3,2","-3.91927674774693",4.71844785465692e-14
"258","daily","eGARCH","norm","1,2","3,3","-3.92317102467246",2.44249065417534e-15
"259","daily","eGARCH","norm","1,2","3,4","-3.92183367641235",0
"260","daily","eGARCH","norm","1,2","4,0","-3.92097258518127",1.31006316905768e-14
"261","daily","eGARCH","norm","1,2","4,1","-3.91774102524891",1.77635683940025e-15
"262","daily","eGARCH","norm","1,2","4,2","-3.92705159069189",0
"263","daily","eGARCH","norm","1,2","4,3","-3.92257452995923",0
"264","daily","eGARCH","norm","1,3","0,0","-3.93176958987781",5.90034743286338e-09
"265","daily","eGARCH","norm","1,3","0,1","-3.92844776081499",1.22801768753789e-12
"266","daily","eGARCH","norm","1,3","0,2","-3.92635516314375",1.06104014463426e-12
"267","daily","eGARCH","norm","1,3","0,3","-3.92331644599038",2.22044604925031e-16
"268","daily","eGARCH","norm","1,3","0,4","-3.92028524638403",0
"269","daily","eGARCH","norm","1,3","1,0","-3.9284814859489",1.67865721323324e-13
"270","daily","eGARCH","norm","1,3","1,1","-3.92587254791607",1.6198153929281e-13
"271","daily","eGARCH","norm","1,3","1,2","-3.92326130192591",9.10382880192628e-15
"272","daily","eGARCH","norm","1,3","1,3","-3.92015387623667",1.11022302462516e-16
"273","daily","eGARCH","norm","1,3","1,4","-3.91706672204598",0
"274","daily","eGARCH","norm","1,3","2,0","-3.92630924116921",1.74105174721717e-12
"275","daily","eGARCH","norm","1,3","2,1","-3.92318107443911",1.77635683940025e-14
"276","daily","eGARCH","norm","1,3","2,2","-3.92962751635333",5.63327162694804e-13
"277","daily","eGARCH","norm","1,3","2,3","-3.91813447011286",4.10782519111308e-15
"278","daily","eGARCH","norm","1,3","2,4","-3.92323803852499",1.87627691161651e-14
"279","daily","eGARCH","norm","1,3","3,0","-3.92323818296028",7.7715611723761e-16
"280","daily","eGARCH","norm","1,3","3,1","-3.92039298802654",2.22044604925031e-16
"281","daily","eGARCH","norm","1,3","3,2","-3.92666968962416",1.11022302462516e-16
